tradingsymbol,name,instrument_type,segment
JUNIORBEES,NIPPON INDIA ETF NIFTY NEXT 50 JUNIOR BEES,EQ,NSE
DIVISLAB,DIVI S LABORATORIES,EQ,NSE
TMB,TAMILNAD MERCA BANK,EQ,NSE
STCINDIA,THE STATE TRADING CORPN,EQ,NSE
RADICO,RADICO KHAITAN,EQ,NSE
INDORAMA,INDO RAMA SYNTHETICS,EQ,NSE
MARUTI,MARUTI SUZUKI INDIA,EQ,NSE
LIQUIDBEES,NIPPON INDIA ETF NIFTY 1D RATE LIQUID BEES,EQ,NSE
INFOBEAN,INFOBEANS TECHNO.,EQ,NSE
BANKIETF,ICICI PRUDENTIAL NIFTY BANK ETF,EQ,NSE
DCMNVL,DCM NOUVELLE,EQ,NSE
SATIA,SATIA INDUSTRIES,EQ,NSE
SIRCA,SIRCA PAINT INDIA,EQ,NSE
SECURKLOUD,SECUREKLOUD TECH,EQ,NSE
KSOLVES,KSOLVES INDIA,EQ,NSE
NATHBIOGEN,NATH BIO-GENES (I),EQ,NSE
AGRITECH,AGRI-TECH (INDIA),EQ,NSE
LIBAS,LIBAS CONSU PRODUCTS,EQ,NSE
SUMIT,SUMIT WOODS,EQ,NSE
CNL,CREATIVE NEWTECH,EQ,NSE
HARSHA,HARSHA ENGINEERS INT,EQ,NSE
COFFEEDAY,COFFEE DAY ENTERPRISE,EQ,NSE
IDFCFIRSTB,IDFC FIRST BANK,EQ,NSE
AXISILVER,AXIS SILVER ETF,EQ,NSE
INDIGO,INTERGLOBE AVIATION,EQ,NSE
SHK,S H KELKAR AND CO.,EQ,NSE
VARDHACRLC,VARDHAMAN ACRYLICS,EQ,NSE
UCOBANK,UCO BANK,EQ,NSE
BAGFILMS,B.A.G FILMS AND MEDIA,EQ,NSE
SUVEN,SUVEN LIFE SCIENCES,EQ,NSE
JSL,JINDAL STAINLESS,EQ,NSE
NSIL,NALWA SONS INVESTMENT,EQ,NSE
HDFCGROWTH,HDFC NIFTY GROWTH SECTORS 15 ETF,EQ,NSE
WELSPUNLIV,WELSPUN LIVING,EQ,NSE
HDFCQUAL,HDFC NIFTY100 QUALITY 30 ETF,EQ,NSE
JAIBALAJI,JAI BALAJI INDUSTRIES,EQ,NSE
HDFCVALUE,HDFC NIFTY50 VALUE 20 ETF,EQ,NSE
IGL,INDRAPRASTHA GAS,EQ,NSE
TVSELECT,TVS ELECTRONICS,EQ,NSE
DREDGECORP,DREDGING CORP OF INDIA,EQ,NSE
TVTODAY,TV TODAY NETWORK,EQ,NSE
UNIENTER,UNIPHOS ENTERPRISES,EQ,NSE
SIL,STANDARD INDUSTRIES,EQ,NSE
LUXIND,LUX INDUSTRIES,EQ,NSE
BALAXI,BALAXI PHARMA,EQ,NSE
LICNETFN50,LIC MF NIFTY 50 ETF,EQ,NSE
MUKANDLTD,MUKAND,EQ,NSE
AFFLE,AFFLE 3I,EQ,NSE
PETRONET,PETRONET LNG,EQ,NSE
PTC,PTC INDIA,EQ,NSE
DHANBANK,DHANLAXMI BANK,EQ,NSE
VAIBHAVGBL,VAIBHAV GLOBAL,EQ,NSE
TTKHLTCARE,TTK HEALTHCARE,EQ,NSE
BIOCON,BIOCON,EQ,NSE
TIPSFILMS,TIPS FILMS,EQ,NSE
MAHABANK,BANK OF MAHARASHTRA,EQ,NSE
PVTBANIETF,ICICI PRUDENTIAL NIFTY PRIVATE BANK ETF,EQ,NSE
ZOTA,ZOTA HEALTH CARE,EQ,NSE
SALZERELEC,SALZER ELECTRONICS,EQ,NSE
POONAWALLA,POONAWALLA FINCORP,EQ,NSE
XPROINDIA,XPRO INDIA,EQ,NSE
RKFORGE,RAMKRISHNA FORGINGS,EQ,NSE
DATAMATICS,DATAMATICS GLOBAL SER,EQ,NSE
NDTV,NDTV,EQ,NSE
KRITINUT,KRITI NUTRIENTS,EQ,NSE
SPANDANA,SPANDANA SPHOORTY FIN,EQ,NSE
BANKBEES,NIPPON INDIA ETF BANK BEES,EQ,NSE
LICNETFSEN,LIC MF BSE SENSEX ETF,EQ,NSE
PILANIINVS,PILANI INV & IND COR,EQ,NSE
CCL,CCL PRODUCTS (I),EQ,NSE
NV20,KOTAK NIFTY 50 VALUE 20 ETF,EQ,NSE
EXCELINDUS,EXCEL INDUSTRIES,EQ,NSE
KRIDHANINF,KRIDHAN INFRA,EQ,NSE
LT,LARSEN & TOUBRO,EQ,NSE
APARINDS,APAR INDUSTRIES,EQ,NSE
AMBICAAGAR,AMBICA AGAR & AROMAINDLTD,EQ,NSE
CENTEXT,CENTURY EXTRUSIONS,EQ,NSE
NIITLTD,NIIT,EQ,NSE
EMIL,ELECTRONICS MART IND,EQ,NSE
ULTRACEMCO,ULTRATECH CEMENT,EQ,NSE
TCS,TATA CONSULTANCY SERV LT,EQ,NSE
HDFCMOMENT,HDFC NIFTY200 MOMENTUM 30 ETF,EQ,NSE
COFORGE,COFORGE,EQ,NSE
HDFCLOWVOL,HDFC NIFTY100 LOW VOLATILITY 30 ETF,EQ,NSE
TEXINFRA,TEXMACO INFRA & HOLDG,EQ,NSE
DCI,DC INFOTECH AND COMUN,EQ,NSE
PPLPHARMA,PIRAMAL PHARMA,EQ,NSE
FORCEMOT,FORCE MOTORS,EQ,NSE
WESTLIFE,WESTLIFE FOODWORLD,EQ,NSE
GULFPETRO,GP PETROLEUMS,EQ,NSE
TRACXN,TRACXN TECHNOLOGIES,EQ,NSE
HDFCNIFTY,HDFC NIFTY 50 ETF,EQ,NSE
HDFCSENSEX,HDFC BSE SENSEX ETF,EQ,NSE
LINCOLN,LINCOLN PHARMA,EQ,NSE
GUFICBIO,GUFIC BIOSCIENCES,EQ,NSE
ASTRAMICRO,ASTRA MICROWAVE,EQ,NSE
WELENT,WELSPUN ENTERPRISES,EQ,NSE
NARMADA,NARMADA AGROBASE,EQ,NSE
NTPC,NTPC,EQ,NSE
SALSTEEL,S.A.L. STEEL,EQ,NSE
KOTARISUG,KOTHARI SUG & CHEM,EQ,NSE
LALPATHLAB,DR. LAL PATH LABS,EQ,NSE
JBMA,JBM AUTO,EQ,NSE
DWARKESH,DWARIKESH SUGAR IND,EQ,NSE
INDOCO,INDOCO REMEDIES,EQ,NSE
SUPRAJIT,SUPRAJIT ENGINEERING,EQ,NSE
PATELENG,PATEL ENGINEERING,EQ,NSE
ALKEM,ALKEM LABORATORIES,EQ,NSE
XCHANGING,XCHANGING SOLUTIONS,EQ,NSE
JSWSTEEL,JSW STEEL,EQ,NSE
JINDALPHOT,JINDAL PHOTO,EQ,NSE
JPPOWER,JAIPRAKASH POWER VEN.,EQ,NSE
GOKEX,GOKALDAS EXPORTS,EQ,NSE
ACEINTEG,ACE INTEGRATED SOLU.,EQ,NSE
EVEREADY,EVEREADY INDS. IND. ,EQ,NSE
SAKSOFT,SAKSOFT,EQ,NSE
HPIL,HINDPRAKASH INDUSTRY,EQ,NSE
ALLDIGI,ALLDIGI TECH,EQ,NSE
SUKHJITS,SUKHJIT STARCH & CHEM,EQ,NSE
IIFL,IIFL FINANCE,EQ,NSE
SHOPERSTOP,SHOPPERS STOP,EQ,NSE
WELCORP,WELSPUN CORP,EQ,NSE
SSWL,STEEL STRIPS WHEELS,EQ,NSE
NH,NARAYANA HRUDAYALAYA,EQ,NSE
CYBERMEDIA,CYBER MEDIA (INDIA),EQ,NSE
SURYALAXMI,SURYALAKSHMI COT MIL,EQ,NSE
SHAHALLOYS,SHAH ALLOYS,EQ,NSE
JKPAPER,JK PAPER,EQ,NSE
PRIMESECU,PRIME SECURITIES,EQ,NSE
63MOONS,63 MOONS TECHNOLOGIES,EQ,NSE
GRANULES,GRANULES INDIA,EQ,NSE
JSWHL,JSW HOLDINGS,EQ,NSE
MANINDS,MAN INDUSTRIES (I),EQ,NSE
VHL,VARDHMAN HOLDINGS,EQ,NSE
DCXINDIA,DCX SYSTEMS,EQ,NSE
GEOJITFSL,GEOJIT FINANCIAL SER L,EQ,NSE
GENUSPOWER,GENUS POWER INFRASTRU,EQ,NSE
SWELECTES,SWELECT ENERGY SYS,EQ,NSE
YESBANK,YES BANK,EQ,NSE
MSPL,MSP STEEL & POWER,EQ,NSE
NECLIFE,NECTAR LIFESCIENCES,EQ,NSE
FUSION,FUSION FINANCE,EQ,NSE
SPLIL,SPL INDUSTRIES,EQ,NSE
MCLEODRUSS,MCLEOD RUSSEL INDIA,EQ,NSE
MEDANTA,GLOBAL HEALTH,EQ,NSE
SEMAC,SEMAC CONSTRUCTION,EQ,NSE
VIVIMEDLAB,VIVIMED LABS,EQ,NSE
BIKAJI,BIKAJI FOODS INTERN,EQ,NSE
GOLDIAM,GOLDIAM INTERNATIONAL,EQ,NSE
RML,RANE (MADRAS),EQ,NSE
HTMEDIA,HT MEDIA,EQ,NSE
SASKEN,SASKEN TECHNOLOGIES,EQ,NSE
ICIL,INDO COUNT INDUSTRIES,EQ,NSE
SYNCOMF,SYNCOM FORMU (I),EQ,NSE
FCSSOFT,FCS SOFTWARE SOLN.,EQ,NSE
IMPAL,IND MOTOR PART & ACC,EQ,NSE
AEROENTER,AEROFLEX ENTERPRISES,EQ,NSE
SUZLON,SUZLON ENERGY,EQ,NSE
AURIONPRO,AURIONPRO SOLN,EQ,NSE
ACI,ARCHEAN CHEMICAL IND,EQ,NSE
RENUKA,SHREE RENUKA SUGARS,EQ,NSE
FIVESTAR,FIVE-STAR BUS FIN,EQ,NSE
BASML,BANNARI AM SPIN MILL,EQ,NSE
KAYNES,KAYNES TECHNOLOGY IND,EQ,NSE
HDFCNIFIT,HDFC NIFTY IT ETF,EQ,NSE
DOLATALGO,DOLAT ALGOTECH,EQ,NSE
BBTCL,B&B TRIPLEWALL CONT,EQ,NSE
HNDFDS,HINDUSTAN FOODS,EQ,NSE
INOXGREEN,INOX GREEN ENERGY SER,EQ,NSE
RUSTOMJEE,KEYSTONE REALTORS,EQ,NSE
ZIMLAB,ZIM LABORATORIES,EQ,NSE
SWSOLAR,STRLNG & WIL REN ENE,EQ,NSE
VINNY,VINNY OVERSEAS,EQ,NSE
AAATECH,AAA TECHNOLOGIES,EQ,NSE
FINIETF,ICICI PRUDENTIAL NIFTY FINANCIAL SERVICES EX-BANK ETF,EQ,NSE
PRECAM,PRECISION CAMSHAFTS,EQ,NSE
OSIAHYPER,OSIA HYPER RETAIL,EQ,NSE
MBAPL,MADHYA BHARAT AGRO P.,EQ,NSE
TEAMLEASE,TEAMLEASE SERVICES,EQ,NSE
HYBRIDFIN,HYBRID FINANCIAL SERVICE,EQ,NSE
KRISHANA,KRISHANA PHOSCHEM,EQ,NSE
SARVESHWAR,SARVESHWAR FOODS,EQ,NSE
NPBET,TATA NIFTY PRIVATE BANK ETF,EQ,NSE
DHARMAJ,DHARMAJ CROP GUARD,EQ,NSE
SAFARI,SAFARI IND (INDIA),EQ,NSE
UNIPARTS,UNIPARTS INDIA,EQ,NSE
360ONE,360 ONE WAM,EQ,NSE
IIFLCAPS,IIFL CAPITAL SERVICES,EQ,NSE
TRIVENI,TRIVENI ENGG. & INDS.,EQ,NSE
SILVER1,KOTAK SILVER ETF,EQ,NSE
AIAENG,AIA ENGINEERING,EQ,NSE
EKC,EVEREST KANTO CYLINDERLTD,EQ,NSE
VIMTALABS,VIMTA LABS,EQ,NSE
NAHARINDUS,NAHAR INDS ENT,EQ,NSE
ORIENTCER,ORIENT CERATECH,EQ,NSE
QUICKHEAL,QUICK HEAL TECH,EQ,NSE
KERNEX,KERNEX MICROSYS(I),EQ,NSE
REPRO,REPRO INDIA,EQ,NSE
EBBETF0433,BHARAT BOND ETF - APRIL 2033,EQ,NSE
GSEC10IETF,ICICI PRUDENTIAL NIFTY 10 YR BENCHMARK G-SEC ETF,EQ,NSE
PVRINOX,PVR INOX,EQ,NSE
CELEBRITY,CELEBRITY FASHIONS,EQ,NSE
NITINSPIN,NITIN SPINNERS,EQ,NSE
ROHLTD,ROYAL ORCHID HOTELS,EQ,NSE
ENIL,ENTERTAIN NET. IND.,EQ,NSE
GSPL,GUJARAT STATE PETRO,EQ,NSE
COMMOIETF,ICICI PRUDENTIAL NIFTY COMMODITIES ETF,EQ,NSE
JAGRAN,JAGRAN PRAKASHAN,EQ,NSE
SULA,SULA VINEYARDS,EQ,NSE
SAKUMA,SAKUMA EXPORTS,EQ,NSE
KEC,KEC INTL.,EQ,NSE
JKCEMENT,JK CEMENT,EQ,NSE
INDOTECH,INDO TECH TRANSFORM,EQ,NSE
LANDMARK,LANDMARK CARS,EQ,NSE
M&MFIN,M&M FIN. SERVICES,EQ,NSE
AFSL,ABANS FINANCIAL SRVCS,EQ,NSE
BLKASHYAP,B.L.KASHYAP & SON,EQ,NSE
VISASTEEL,VISA STEEL,EQ,NSE
NITCO,NITCO,EQ,NSE
CENTURYPLY,CENTURY PLYBOARDS (I),EQ,NSE
KEI,KEI INDUSTRIES,EQ,NSE
SOLARINDS,SOLAR INDUSTRIES (I),EQ,NSE
GALLANTT,GALLANTT ISPAT,EQ,NSE
VAKRANGEE,VAKRANGEE,EQ,NSE
MALUPAPER,MALU PAPER MILLS,EQ,NSE
KFINTECH,KFIN TECHNOLOGIES,EQ,NSE
SGL,STL GLOBAL,EQ,NSE
UTTAMSUGAR,UTTAM SUGAR MILLS,EQ,NSE
KKCL,KEWAL KIRAN CLOTHING,EQ,NSE
BHAGERIA,BHAGERIA INDUSTRIES,EQ,NSE
SUNTV,SUN TV NETWORK,EQ,NSE
GPIL,GODAWARI POW & ISP,EQ,NSE
RSYSTEMS,R SYS INTERNATIONAL,EQ,NSE
EMKAY,EMKAY GLOBAL FIN SERV,EQ,NSE
ELIN,ELIN ELECTRONICS,EQ,NSE
KELLTONTEC,KELLTON TECH SOL,EQ,NSE
LOKESHMACH,LOKESH MACHINES,EQ,NSE
BALPHARMA,BAL PHARMA,EQ,NSE
RATNAMANI,RATNAMANI MET & TUB,EQ,NSE
KAMDHENU,KAMDHENU,EQ,NSE
PIONEEREMB,PIONEER EMBROIDERIES,EQ,NSE
JKLAKSHMI,JK LAKSHMI CEMENT,EQ,NSE
PFOCUS,PRIME FOCUS,EQ,NSE
ALLCARGO,ALLCARGO LOGISTICS,EQ,NSE
AKASH,AKASH INFRA-PROJECTS,EQ,NSE
MUNJALAU,MUNJAL AUTO IND.,EQ,NSE
EMAMILTD,EMAMI,EQ,NSE
NECCLTD,NORTH EAST CARRY CORP,EQ,NSE
GMRAIRPORT,GMR AIRPORTS,EQ,NSE
VIDHIING,VIDHI SPCLTY F INGRDNTS L,EQ,NSE
TECHM,TECH MAHINDRA,EQ,NSE
AVONMORE,AVONMORE CAP&MGT SERV,EQ,NSE
GRINDWELL,GRINDWELL NORTON,EQ,NSE
RAMANEWS,SHREE RAMA NEWSPRINT,EQ,NSE
MANUGRAPH,MANUGRAPH INDIA,EQ,NSE
VOLTAMP,VOLTAMP TRANSFORMERS,EQ,NSE
RADIANTCMS,RADIANT CASH MGMT SER,EQ,NSE
ATLANTAA,ATLANTAA,EQ,NSE
ACE,ACTION CONST EQUIP,EQ,NSE
HGM,HANDSON GBL MNGMNT,EQ,NSE
ANTELOPUS,ANTELOPUS SELAN ENRGY,EQ,NSE
IRCTC,INDIAN RAIL TOUR CORP,EQ,NSE
ANANTRAJ,ANANT RAJ,EQ,NSE
SKYGOLD,SKY GOLD AND DIAMONDS,EQ,NSE
JMFINANCIL,JM FINANCIAL,EQ,NSE
ELECON,ELECON ENG. CO.,EQ,NSE
BANKADD,DSP NIFTY BANK ETF,EQ,NSE
TALBROAUTO,TALBROS AUTO. COMP.,EQ,NSE
ALICON,ALICON CASTALLOY,EQ,NSE
GEECEE,GEECEE VENTURES,EQ,NSE
MADHUCON,MADHUCON PROJECTS,EQ,NSE
NRL,NUPUR RECYCLERS,EQ,NSE
AERONEU,AEROFLEX NEU,EQ,NSE
INFOMEDIA,INFOMEDIA PRESS,EQ,NSE
VISHWARAJ,VISHWARAJ SUGAR IND,EQ,NSE
FIEMIND,FIEM INDUSTRIES,EQ,NSE
JHS,JHS SVEND. LAB.,EQ,NSE
DCBBANK,DCB BANK,EQ,NSE
GLOBALVECT,GLOBAL VEC HELICORP,EQ,NSE
SHYAMTEL,SHYAM TELECOM,EQ,NSE
GTLINFRA,GTL INFRA.LTD,EQ,NSE
FLUOROCHEM,GUJARAT FLUOROCHEM,EQ,NSE
NAUKRI,INFO EDGE (I),EQ,NSE
MANOMAY,MANOMAY TEX INDIA,EQ,NSE
SHIVAMAUTO,SHIVAM AUTO.LTD,EQ,NSE
BBL,BHARAT BIJLEE,EQ,NSE
VGL,VARVEE GLOBAL,EQ,NSE
GESHIP,THE GE SHPG.LTD,EQ,NSE
TORNTPOWER,TORRENT POWER,EQ,NSE
PARSVNATH,PARSVNATH DEVELOPER,EQ,NSE
BAIDFIN,BAID FINSERV,EQ,NSE
MANALIPETC,MANALI PETROCHEMICALS LT,EQ,NSE
SUTLEJTEX,SUTLEJ TEXT & INDUS,EQ,NSE
GREENPANEL,GREENPANEL INDUSTRIES,EQ,NSE
KAMOPAINTS,KAMDHENU VENTURES,EQ,NSE
LTFOODS,LT FOODS,EQ,NSE
RUCHIRA,RUCHIRA PAPERS,EQ,NSE
SOBHA,SOBHA,EQ,NSE
DONEAR,DONEAR IND.,EQ,NSE
MMFL,MM FORGINGS,EQ,NSE
VENUSREM,VENUS REMEDIES,EQ,NSE
AARTIPHARM,AARTI PHARMALABS,EQ,NSE
KUANTUM,KUANTUM PAPERS,EQ,NSE
JINDRILL,JINDAL DRILLING IND.,EQ,NSE
BANCOINDIA,BANCO PRODUCTS (I),EQ,NSE
HIRECT,HIND RECTIFIER,EQ,NSE
CREST,CREST VENTURES,EQ,NSE
PLASTIBLEN,PLASTIBLENDS INDIA,EQ,NSE
NFL,NATIONAL FERT.,EQ,NSE
PRAENG,PRAJAY ENG. SYN.,EQ,NSE
LIQUID1,KOTAK NIFTY 1D RATE LIQUID ETF,EQ,NSE
PARACABLES,PARAMOUNT COMM,EQ,NSE
HBLENGINE,HBL ENGINEERING,EQ,NSE
TANLA,TANLA PLATFORMS,EQ,NSE
JASH,JASH ENGINEERING,EQ,NSE
ABSLBANETF,ADITYA BIRLA SUN LIFE NIFTY BANK ETF,EQ,NSE
AVTNPL,AVT NATURAL PRODUCTS,EQ,NSE
LUMAXTECH,LUMAX AUTO TECH,EQ,NSE
VEEDOL,VEEDOL CORPORATION,EQ,NSE
SARLAPOLY,SARLA PERF. FIBERS,EQ,NSE
SANGHVIMOV,SANGHVI MOVERS,EQ,NSE
ASMS,BARTRONICS INDIA,EQ,NSE
SAGCEM,SAGAR CEMENTS,EQ,NSE
IGPL,I G PETROCHEMICALS,EQ,NSE
SIYSIL,SIYARAM SILK MILLS,EQ,NSE
PTL,PTL ENTERPRISES,EQ,NSE
AUTOIND,AUTOLINE INDUSTRIES,EQ,NSE
NETWORK18,NETWORK18 MEDIA & INV,EQ,NSE
GANDHITUBE,GANDHI SPL. TUBES,EQ,NSE
PITTIENG,PITTI ENGINEERING,EQ,NSE
SBGLP,SURATWWALA BUS GROUP,EQ,NSE
BTML,BODHI TREE MULTIMEDIA,EQ,NSE
UNOMINDA,UNO MINDA,EQ,NSE
NSLNISP,NMDC STEEL,EQ,NSE
NINSYS,NINTEC SYSTEMS,EQ,NSE
TIMKEN,TIMKEN INDIA,EQ,NSE
HUBTOWN,HUBTOWN,EQ,NSE
CTE,CAMBRIDGE TECH ENTER,EQ,NSE
TIIL,TECHNOCRAFT IND,EQ,NSE
HDFCBSE500,HDFC BSE 500 ETF,EQ,NSE
HDFCSML250,HDFC NIFTY SMALLCAP 250 ETF,EQ,NSE
HDFCMID150,HDFC NIFTY MIDCAP 150 ETF,EQ,NSE
TVSSRICHAK,TVS SRICHAKRA,EQ,NSE
REDINGTON,REDINGTON,EQ,NSE
PGIL,PEARL GLOBAL IND,EQ,NSE
ORIENTBELL,ORIENT BELL,EQ,NSE
GOLDETF,MIRAE ASSET GOLD ETF,EQ,NSE
VIYASH,VIYASH SCIENTIFIC,EQ,NSE
PFC,POWER FIN CORP,EQ,NSE
FSL,FIRSTSOURCE SOLU.,EQ,NSE
OSWALSEEDS,SHREEOSWAL S AND CHE,EQ,NSE
INDIANB,INDIAN BANK,EQ,NSE
TFL,TRANSWARRANTY FIN.,EQ,NSE
SMSPHARMA,SMS PHARMACEUTICALS,EQ,NSE
HSCL,HIMADRI SPECIALITY CHEM L,EQ,NSE
GANESHHOU,GANESH HOUSING,EQ,NSE
ORIENTALTL,ORIENTAL TRIMEX,EQ,NSE
APOLLOPIPE,APOLLO PIPES,EQ,NSE
IDEA,VODAFONE IDEA,EQ,NSE
POCL,PONDY OXIDES & CHEM,EQ,NSE
AMDIND,AMD INDUSTRIES,EQ,NSE
RAJTV,RAJ TV NETWORK,EQ,NSE
PAGEIND,PAGE INDUSTRIES,EQ,NSE
ASTRAL,ASTRAL,EQ,NSE
LAOPALA,LA OPALA RG,EQ,NSE
GOLDBEES,NIPPON INDIA ETF GOLD BEES,EQ,NSE
JKTYRE,JK TYRE & INDUSTRIES,EQ,NSE
NAHARSPING,NAHAR SPINNING MILLS,EQ,NSE
NAHARPOLY,NAHAR POLY FILMS,EQ,NSE
DIVGIITTS,DIVGI TORQTRANSFER SYST L,EQ,NSE
GOKULAGRO,GOKUL AGRO RESOURCES,EQ,NSE
THEMISMED,THEMIS MEDICARE,EQ,NSE
NCLIND,NCL INDUSTRIES,EQ,NSE
BALAMINES,BALAJI AMINES,EQ,NSE
BANSWRAS,BANSWARA SYNTEX,EQ,NSE
ABSLLIQUID,ADITYA BIRLA SUN LIFE CRISIL LIQUID OVERNIGHT ETF,EQ,NSE
ICRA,ICRA,EQ,NSE
GOLDBETA,UTI MUTUAL FUND - UTI GOLD EXCHANGE TRADED FUND,EQ,NSE
DISHTV,DISH TV INDIA,EQ,NSE
NDLVENTURE,NDL VENTURES,EQ,NSE
PHOENIXLTD,THE PHOENIX MILLS,EQ,NSE
AROGRANITE,ARO GRANITE IND.,EQ,NSE
ZENITHSTL,ZENITH STEEL PIP IND,EQ,NSE
SRHHYPOLTD,SREE RAYALSEEMA HHP,EQ,NSE
PSUBNKIETF,ICICI PRUDENTIAL NIFTY PSU BANK ETF,EQ,NSE
FORTIS,FORTIS HEALTHCARE,EQ,NSE
ALPHAGEO,ALPHAGEO (INDIA),EQ,NSE
GSLSU,GLOBAL SURFACES,EQ,NSE
WEBELSOLAR,WEBSOL ENERGY SYSTEM,EQ,NSE
TGBHOTELS,TGB BANQUETS&HOTELS,EQ,NSE
CHEMBOND,CHEMBOND MATERIALTECH,EQ,NSE
HILTON,HILTON METAL FORGING,EQ,NSE
INSECTICID,INSECTICIDES (I),EQ,NSE
KMSUGAR,K M SUGAR MILLS,EQ,NSE
NAVINFLUOR,NAVIN FLUORINE INT.,EQ,NSE
GUJAPOLLO,GUJ. APOLLO IND.,EQ,NSE
GOACARBON,GOA CARBON,EQ,NSE
NAGREEKEXP,NAGREEKA EXPORTS,EQ,NSE
TIMETECHNO,TIME TECHNOPLAST,EQ,NSE
HGS,HINDUJA GLOBAL SOLS.,EQ,NSE
AXSENSEX,AXIS BSE SENSEX ETF,EQ,NSE
ADVANIHOTR,ADVANI HOT.& RES.(I),EQ,NSE
NELCAST,NELCAST,EQ,NSE
V2RETAIL,V2 RETAIL,EQ,NSE
LOWVOL,MIRAE ASSET NIFTY 100 LOW VOLATILITY 30 ETF,EQ,NSE
SPARC,SUN PHARMA ADV.RES.CO.LTD,EQ,NSE
ADSL,ALLIED DIGITAL SERV.,EQ,NSE
WSI,W.S.INDUSTRIES (I),EQ,NSE
DECCANCE,DECCAN CEMENTS,EQ,NSE
VIPCLOTHNG,VIP CLOTHING,EQ,NSE
ALPA,ALPA LABORATORIES,EQ,NSE
OMAXE,OMAXE,EQ,NSE
GOLD1,KOTAK GOLD ETF,EQ,NSE
ASIANTILES,ASIAN GRANITO IND.,EQ,NSE
AKI,AKI INDIA,EQ,NSE
CENTRALBK,CENTRAL BANK OF INDIA,EQ,NSE
SAHYADRI,SAHYADRI INDUSTRIES,EQ,NSE
KDDL,KDDL,EQ,NSE
KPRMILL,KPR MILL,EQ,NSE
PURVA,PURAVANKARA,EQ,NSE
LAL,LORENZINI APPARELS,EQ,NSE
CIEINDIA,CIE AUTOMOTIVE INDIA,EQ,NSE
GSEC10YEAR,MIRAE ASSET NIFTY 8-13 YR G-SEC ETF,EQ,NSE
NAGREEKCAP,NAGREEKA CAP & INFR.LTD,EQ,NSE
MOTILALOFS,MOTILAL OSWAL FIN,EQ,NSE
INDOWIND,INDOWIND ENERGY,EQ,NSE
MAGNUM,MAGNUM VENTURES,EQ,NSE
CSBBANK,CSB BANK,EQ,NSE
KSCL,KAVERI SEED CO.,EQ,NSE
POWERGRID,POWER GRID CORP.,EQ,NSE
CENTUM,CENTUM ELECTRONICS,EQ,NSE
CCCL,CONS. CONST. CONSORT,EQ,NSE
MAANALU,MAAN ALUMINIUM,EQ,NSE
PSUBNKBEES,NIPPON INDIA ETF PSU BANK BEES,EQ,NSE
BAJAJELEC,BAJAJ ELECT.LTD,EQ,NSE
CERA,CERA SANITARYWARE,EQ,NSE
DELTACORP,DELTA CORP,EQ,NSE
ENERGYDEV,ENERGY DEVE. CO.LTD,EQ,NSE
AVALON,AVALON TECHNOLOGIES,EQ,NSE
PSUBANK,KOTAK NIFTY PSU BANK ETF,EQ,NSE
BLAL,BEML LAND ASSETS,EQ,NSE
RELIGARE,RELIGARE ENTER.,EQ,NSE
BVCL,BARAK VALLEY CEM.,EQ,NSE
ADANIPORTS,ADANI PORT & SEZ,EQ,NSE
SILVERBETA,UTI SILVER ETF,EQ,NSE
EDELWEISS,EDELWEISS FIN SERV,EQ,NSE
SVLL,SHREE VASU LOGISTICS,EQ,NSE
KOLTEPATIL,KOLTE PATIL DEV.,EQ,NSE
RGL,RENAISSANCE GLOBAL,EQ,NSE
KAUSHALYA,KAUSHALYA INFRA DEV,EQ,NSE
COLPAL,COLGATE PALMOLIVE,EQ,NSE
JYOTHYLAB,JYOTHY LABS,EQ,NSE
MADHAV,MADHAV MARBLE & GRANITE,EQ,NSE
KALYANIFRG,KALYANI FORGE,EQ,NSE
RHL,ROBUST HOTELS,EQ,NSE
HITECHCORP,HITECH CORPORATION,EQ,NSE
TARIL,TRANS & RECTI.,EQ,NSE
ECLERX,ECLERX SERVICES,EQ,NSE
KIRLPNU,KIRLOSKAR PNEUMATIC COM L,EQ,NSE
BRIGADE,BRIGADE ENTER.,EQ,NSE
MANAKSIA,MANAKSIA,EQ,NSE
ARIES,ARIES AGRO,EQ,NSE
PPAP,PPAP AUTOMOTIVE,EQ,NSE
DVL,DHUNSERI VENTURES,EQ,NSE
PATINTLOG,PATEL INT. LOG.,EQ,NSE
UJJIVANSFB,UJJIVAN SMALL FINANC BANK,EQ,NSE
LICNFNHGP,LIC MF NIFTY 100 ETF,EQ,NSE
AMBIKCO,AMBIKA COTTON MILL,EQ,NSE
BIRLAMONEY,ADITYA BIRLA MONEY,EQ,NSE
CEATLTD,CEAT,EQ,NSE
RPOWER,RELIANCE POWER,EQ,NSE
JKIL,JKUMAR INFR.LTD.,EQ,NSE
CORDSCABLE,CORDS CABLE INDUS,EQ,NSE
ONMOBILE,ONMOBILE GLOBAL,EQ,NSE
KNRCON,KNR CONSTRU,EQ,NSE
VIRINCHI,VIRINCHI,EQ,NSE
BANG,BANG OVERSEAS,EQ,NSE
SEPC,SEPC,EQ,NSE
IRB,IRB INFRA DEV,EQ,NSE
QGOLDHALF,QUANTUM GOLD FUND,EQ,NSE
NMDC,NMDC,EQ,NSE
RAIN,RAIN INDUSTRIES,EQ,NSE
SHALPAINTS,SHALIM PAINTS,EQ,NSE
