tradingsymbol,name,instrument_type,segment
KAJARIACER,KAJARIA CERAMICS,EQ,NSE
KAKATCEM,KAKATIYA CEM SUGAR &IND L,EQ,NSE
KPIL,KALPATARU PROJECT INT,EQ,NSE
KAMATHOTEL,KAMAT HOTELS (I),EQ,NSE
KANORICHEM,KANORIA CHEMICALS & INDUS,EQ,NSE
KARURVYSYA,KARUR VYSYA BANK,EQ,NSE
KESORAMIND,KESORAM INDUSTRIES,EQ,NSE
CARYSIL,CARYSIL,EQ,NSE
CUMMINSIND,CUMMINS INDIA,EQ,NSE
KOPRAN,KOPRAN,EQ,NSE
KOTAKBANK,KOTAK MAHINDRA BANK,EQ,NSE
WEALTH,WEALTH FRST PORT. MG.,EQ,NSE
LIQUIDETF,DSP NIFTY 1D RATE LIQUID ETF,EQ,NSE
KREBSBIO,KREBS BIOCHEMICALS & IND,EQ,NSE
TRENT,TRENT,EQ,NSE
LIBERTSHOE,LIBERTY SHOES,EQ,NSE
LICHSGFIN,LIC HOUSING FINANCE,EQ,NSE
AHLADA,AHLADA ENGINEERS,EQ,NSE
LUMAXIND,LUMAX INDUSTRIES,EQ,NSE
LYKALABS,LYKA LABS,EQ,NSE
IRFC,INDIAN RAILWAY FIN CORP L,EQ,NSE
M&M,MAHINDRA & MAHINDRA,EQ,NSE
RAMCOCEM,THE RAMCO CEMENTS,EQ,NSE
INDIGOPNTS,INDIGO PAINTS,EQ,NSE
CHENNPETRO,CHENNAI PETROLEUM CORP LT,EQ,NSE
HOMEFIRST,HOME FIRST FIN CO IND,EQ,NSE
VTL,VARDHMAN TEXTILES,EQ,NSE
MAHSCOOTER,MAHARASHTRA SCOOTERS,EQ,NSE
MAHSEAMLES,MAHARASHTRA SEAMLESS,EQ,NSE
MANGLMCEM,MANGALAM CEMENT,EQ,NSE
STOVEKRAFT,STOVE KRAFT,EQ,NSE
MARALOVER,MARAL OVERSEAS,EQ,NSE
MASTEK,MASTEK,EQ,NSE
MFSL,MAX FINANCIAL SERV,EQ,NSE
BDL,BHARAT DYNAMICS,EQ,NSE
RAJMET,RAJNANDINI METAL,EQ,NSE
AKG,AKG EXIM,EQ,NSE
BOSCHLTD,BOSCH,EQ,NSE
TSFINV,TSF INVESTMENTS,EQ,NSE
GENCON,GENERIC ENG CONS PROJ,EQ,NSE
MIRCELECTR,MIRC ELECTRONICS,EQ,NSE
MODIRUBBER,MODI RUBBER,EQ,NSE
MODTHREAD,MODERN THREADS INDIA,EQ,NSE
PENINLAND,PENINSULA LAND,EQ,NSE
MOREPENLAB,MOREPEN LAB.,EQ,NSE
BANDHANBNK,BANDHAN BANK,EQ,NSE
MOTOGENFIN,MOTOR & GENERAL FINANCE L,EQ,NSE
IRISDOREME,IRIS CLOTHINGS,EQ,NSE
MRPL,MRPL,EQ,NSE
HLEGLAS,HLE GLASCOAT,EQ,NSE
MTNL,MAHANAGAR TELEPHONE NIGAM,EQ,NSE
HAL,HINDUSTAN AERONAUTICS,EQ,NSE
MUNJALSHOW,MUNJAL SHOWA,EQ,NSE
MURUDCERA,MURUDESHWAR CERAMICS,EQ,NSE
HEIDELBERG,HEIDELBERGCEMENT (I),EQ,NSE
SMCGLOBAL,SMC GLOBAL SECURITIES,EQ,NSE
CPSEETF,CPSE ETF,EQ,NSE
JAYNECOIND,JAYASWAL NECO INDUSTR,EQ,NSE
NURECA,NURECA,EQ,NSE
NAVNETEDUL,NAVNEET EDUCATION,EQ,NSE
NELCO,NELCO,EQ,NSE
SANDHAR,SANDHAR TECHNOLOGIES,EQ,NSE
NEULANDLAB,NEULAND LAB,EQ,NSE
NILKAMAL,NILKAMAL,EQ,NSE
RAILTEL,RAILTEL CORP OF IND,EQ,NSE
CONSUMBEES,NIPPON INDIA ETF CONSUMPTION,EQ,NSE
NKIND,NK INDUSTRIES,EQ,NSE
NOCIL,NOCIL,EQ,NSE
CENTRUM,CENTRUM CAPITAL,EQ,NSE
MIDHANI,MISHRA DHATU NIGAM,EQ,NSE
OILCOUNTUB,OIL COUNTRY TUBULAR,EQ,NSE
ONGC,OIL AND NATURAL GAS CORP.,EQ,NSE
ONWARDTEC,ONWARD TECHNOLOGIES,EQ,NSE
SILGO,SILGO RETAIL,EQ,NSE
ORIENTHOT,ORIENT HOTELS,EQ,NSE
